title,date,time,organizer,href
"sub0 reset","9 - 11 Nov","ALL DAY","webzero, @joinwebzero","https://cryptonomads.org/DevconSideEvents2024/sub0-reset"
"Decentralised Data Summit","10 Nov","ALL DAY","Codex.storage","https://cryptonomads.org/event/Decentralised-Data-Summit-2024"
"De.Fi World 2024","11 Nov","ALL DAY","De.FI (@DeFi on X)","https://cryptonomads.org/event/De.Fi-World-2024"
"Parallel Society Congress","11 Nov","ALL DAY","Logos","https://cryptonomads.org/event/Parallel-Society-Congress-2024"
"Sui Connect: Bangkok","12 Nov","5 PM - 8 PM","Sui","https://cryptonomads.org/DevconSideEvents2024/Sui-Connect-Bangkok"
"L2con","13 Nov","10 AM - 6 PM","Epic Web3","https://cryptonomads.org/DevconSideEvents2024/L2con"
"Capx Casa Bangkok","21 Oct - 5 Nov","ALL DAY","Capx AI , @0xCapx","https://cryptonomads.org/DevconSideEvents2024/Capx-Casa-Bangkok"
"Travelers Network","1 - 30 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Travelers-Network"
"Hacker Hotel","2 - 30 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Hacker-Hotel"
"ValuesDAO - meet top 3 value-aligned people","2 Nov","6 PM - 9 PM","ValuesDAO","https://cryptonomads.org/DevconSideEvents2024/ValuesDAO-meet-top-3-valuealigned-people"
"DeSci & ReFi Summit","3 Nov","2 PM - 6 PM","DeSci Thailand","https://cryptonomads.org/DevconSideEvents2024/DeSci-ReFi-Summit"
"Sui Bangkok Hacker House","4 - 18 Nov","9 AM - 10 AM","Sui","https://cryptonomads.org/DevconSideEvents2024/Sui-Bangkok-Hacker-House"
"Hall of Impact: DePIN & RWA","4 Nov","8:30 PM - 9:30 PM","QuillAudits","https://cryptonomads.org/DevconSideEvents2024/Hall-of-Impact-DePIN-RWA"
"Penguin Hacker House","5 - 17 Nov","ALL DAY","Penguin Crypto Club","https://cryptonomads.org/DevconSideEvents2024/Penguin-Hacker-House"
"Womxn Hack","5 Nov","9 AM - 6 PM","H.E.R DAO, The Phoenix Guild","https://cryptonomads.org/DevconSideEvents2024/Womxn-Hack"
"Babylon Hacker House","5 Nov","ALL DAY","Babylon","https://cryptonomads.org/DevconSideEvents2024/Babylon-Hacker-House"
"FIL Dev Summit 05","6 Nov","ALL DAY","FIL Oz, Filecoin Foundation","https://cryptonomads.org/DevconSideEvents2024/FIL-Dev-Summit-05"
"FIL Bangkok Co-Working Space","6 Nov","9 AM - 8 PM","Filecoin Foundation","https://cryptonomads.org/DevconSideEvents2024/FIL-Bangkok-CoWorking-Space"
"Design Jam","6 Nov","10:30 AM - 5 PM","Funding the Commons","https://cryptonomads.org/DevconSideEvents2024/Design-Jam"
"Funding the Commons & Earth Commons Hackathon","6 Nov","10:30 AM - 6:30 PM","Funding the Commons, Earth Commons","https://cryptonomads.org/DevconSideEvents2024/Funding-the-Commons-Earth-Commons-Hackathon"
"Babylon Hacker House","6 Nov","ALL DAY","Babylon","https://cryptonomads.org/DevconSideEvents2024/Babylon-Hacker-House"
"Starknet Hacker House","6 Nov","ALL DAY","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Starknet-Hacker-House"
"QuillCon CXO Brunch","6 Nov","8:30 PM - 9:30 PM","QuillAudits","https://cryptonomads.org/DevconSideEvents2024/QuillCon-CXO-Brunch"
"FIL Dev Summit 05","7 Nov","ALL DAY","FIL Oz, Filecoin Foundation","https://cryptonomads.org/DevconSideEvents2024/FIL-Dev-Summit-05"
"DeFi Security Summit 2024","7 Nov","ALL DAY","No Organizer","https://cryptonomads.org/event/DeFi-Security-Summit-2024"
"FOMO LOUNGE","7 Nov","9 AM - 11:30 PM","ABC CONCLAVE","https://cryptonomads.org/DevconSideEvents2024/FOMO-LOUNGE"
"Funding the Commons & Earth Commons Hackathon","7 Nov","10:30 AM - 6:30 PM","Funding the Commons, Earth Commons","https://cryptonomads.org/DevconSideEvents2024/Funding-the-Commons-Earth-Commons-Hackathon"
"dAGI hack: Web3 х AI online hackathon","7 Nov","12 PM - 3 PM","Epic Web3, @epicweb3 & dAGI House, @dagihouse","https://cryptonomads.org/DevconSideEvents2024/dAGI-hack-Web3-AI-online-hackathon"
"Babylon Hacker House","7 Nov","ALL DAY","Babylon","https://cryptonomads.org/DevconSideEvents2024/Babylon-Hacker-House"
"Starknet Hacker House","7 Nov","ALL DAY","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Starknet-Hacker-House"
"LabWeek Opening Party","7 Nov","6:30 PM - 10:30 PM","Protocol Labs","https://cryptonomads.org/DevconSideEvents2024/LabWeek-Opening-Party"
"The Staking Summit: Welcome Reception","7 Nov","7 PM - 10 PM","Staking Rewards","https://cryptonomads.org/DevconSideEvents2024/The-Staking-Summit-Welcome-Reception"
"FIL Dev Summit 05","8 Nov","ALL DAY","FIL Oz, Filecoin Foundation","https://cryptonomads.org/DevconSideEvents2024/FIL-Dev-Summit-05"
"DeFi Security Summit 2024","8 Nov","ALL DAY","No Organizer","https://cryptonomads.org/event/DeFi-Security-Summit-2024"
"Staking Summit","8 Nov","ALL DAY","Staking Rewards","https://cryptonomads.org/DevconSideEvents2024/Staking-Summit"
"Funding the Commons","8 Nov","10 AM - 6 PM","Funding the Commons","https://cryptonomads.org/DevconSideEvents2024/Funding-the-Commons"
"Chain Fusion Hacker House","8 Nov","10 AM - 9 PM","ICP, Synergy Labs","https://cryptonomads.org/DevconSideEvents2024/Chain-Fusion-Hacker-House"
"VR Workshop","8 Nov","11 AM - 2 PM","SynergyLabs, ICP HUBS Network","https://cryptonomads.org/DevconSideEvents2024/VR-Workshop"
"Crypto JAVa Hacker House","8 Nov","11 AM - 8 PM","SynergyLabs","https://cryptonomads.org/DevconSideEvents2024/Crypto-JAVa-Hacker-House"
"VR Workshop","8 Nov","11 AM - 2 PM","ICP Hub, SynergyLabs","https://cryptonomads.org/DevconSideEvents2024/VR-Workshop"
"New to Web3? Start Here","8 Nov","ALL DAY","@OrnellaWeb3, @CaolnBreathnac1, @corinnaschlicht, @guil_is","https://cryptonomads.org/DevconSideEvents2024/New-to-Web3-Start-Here"
"Olympic Village at [REDACTED]","8 Nov","ALL DAY","BlackDragon, NEAR Protocol Community","https://cryptonomads.org/DevconSideEvents2024/Olympic-Village-at-REDACTED"
"Babylon Hacker House","8 Nov","ALL DAY","Babylon","https://cryptonomads.org/DevconSideEvents2024/Babylon-Hacker-House"
"Starknet Hacker House","8 Nov","ALL DAY","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Starknet-Hacker-House"
"COPE-FREE ZONE","8 Nov","4 PM - 7 PM","H.E.R. DAO, SynergyLabs","https://cryptonomads.org/DevconSideEvents2024/COPEFREE-ZONE"
"Devcon Gnosis Pay Market Walk","8 Nov","6 PM - 7 PM","Gnosis Pay","https://cryptonomads.org/DevconSideEvents2024/Devcon-Gnosis-Pay-Market-Walk"
"LeNexusConnect","8 Nov","6 PM - 9 PM","Nexus","https://cryptonomads.org/DevconSideEvents2024/LeNexusConnect"
"DeFi Security Summit 2024","9 Nov","ALL DAY","No Organizer","https://cryptonomads.org/event/DeFi-Security-Summit-2024"
"Thailand Blockchain Week | Genesis","9 Nov","ALL DAY","No Organizer","https://cryptonomads.org/event/Thailand-Blockchain-Week-|-Genesis-2024"
"[REDACTED]","9 Nov","ALL DAY","NEAR Protocol","https://cryptonomads.org/event/[REDACTED]-2024"
"2:47PM Summit","9 Nov","8 AM - 6 PM","2:47pm Studio","https://cryptonomads.org/DevconSideEvents2024/247PM-Summit"
"DevConflict","9 Nov","ALL DAY","GnosisDAO","https://cryptonomads.org/DevconSideEvents2024/DevConflict"
"Staking Summit","9 Nov","ALL DAY","Staking Rewards","https://cryptonomads.org/DevconSideEvents2024/Staking-Summit"
"Chain Fusion Hacker House","9 Nov","10 AM - 9 PM","ICP, Synergy Labs","https://cryptonomads.org/DevconSideEvents2024/Chain-Fusion-Hacker-House"
"sub0 reset","9 Nov","ALL DAY","webzero, @joinwebzero","https://cryptonomads.org/DevconSideEvents2024/sub0-reset"
"Web3 Swap Debate","9 Nov","10 AM - 2 PM","Museigen.io, SynergyLabs TH ICP Hub, Founders Hub Network","https://cryptonomads.org/DevconSideEvents2024/Web3-Swap-Debate"
"Supermoon Startup Day with ICP @ Devcon","9 Nov","11 AM - 2:30 PM","Supermoon & ​ICP Hubs Network","https://cryptonomads.org/DevconSideEvents2024/Supermoon-Startup-Day-with-ICP-Devcon"
"Olympic Village at [REDACTED]","9 Nov","ALL DAY","BlackDragon, NEAR Protocol Community","https://cryptonomads.org/DevconSideEvents2024/Olympic-Village-at-REDACTED"
"Governance Day 3rd Edition - Devcon","9 Nov","ALL DAY","Curia Lab, SEED Gov","https://cryptonomads.org/DevconSideEvents2024/Governance-Day-3rd-Edition-Devcon"
"Babylon Hacker House","9 Nov","ALL DAY","Babylon","https://cryptonomads.org/DevconSideEvents2024/Babylon-Hacker-House"
"Starknet Hacker House","9 Nov","ALL DAY","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Starknet-Hacker-House"
"Allo Hacker Abode","9 Nov","5 PM - 11 AM","Ninit Network, Allo Protocol, @JadeClyne, @MekailMurphy","https://cryptonomads.org/DevconSideEvents2024/Allo-Hacker-Abode"
"APEX Staking Summit","9 Nov","6 PM - 10 PM","Staking Rewards","https://cryptonomads.org/DevconSideEvents2024/APEX-Staking-Summit"
"Not Another Creator Meetup - Web3 Edition","9 Nov","7 PM - 10 PM","FrontierDAO, Viction","https://cryptonomads.org/DevconSideEvents2024/Not-Another-Creator-Meetup-Web3-Edition"
"Thailand Blockchain Week | Genesis","10 Nov","ALL DAY","No Organizer","https://cryptonomads.org/event/Thailand-Blockchain-Week-|-Genesis-2024"
"ETH Bangkok","10 Nov","ALL DAY","ETH Bangkok, Adato, ApacDAO","https://cryptonomads.org/event/ETH-Bangkok-2024"
"[REDACTED]","10 Nov","ALL DAY","NEAR Protocol","https://cryptonomads.org/event/[REDACTED]-2024"
"Decentralised Data Summit","10 Nov","ALL DAY","Codex.storage","https://cryptonomads.org/event/Decentralised-Data-Summit-2024"
"ZuGarden","10 - 30 Nov","ALL DAY","@ZuBerlinCity","https://cryptonomads.org/event/ZuGarden-2024"
"Starknet Hacker House Demo Night","10 Nov","5 AM - 9 PM","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Starknet-Hacker-House-Demo-Night"
"2:47PM Summit","10 Nov","8 AM - 6 PM","2:47pm Studio","https://cryptonomads.org/DevconSideEvents2024/247PM-Summit"
"Web3Village Residency In Bangkok","10 Nov","ALL DAY","Suci Blockchain Hub, Web3 community, @Quinngiang","https://cryptonomads.org/DevconSideEvents2024/Web3Village-Residency-In-Bangkok"
"Coliving Villa","10 Nov","ALL DAY","Crypto Nomads Club","https://cryptonomads.org/DevconSideEvents2024/Coliving-Villa"
"DevConflict","10 Nov","ALL DAY","GnosisDAO","https://cryptonomads.org/DevconSideEvents2024/DevConflict"
"unStable Summit: DEVCON VII","10 Nov","9 AM - 7 PM","The Herd, Party Action People, Stake Capital Group","https://cryptonomads.org/DevconSideEvents2024/unStable-Summit-DEVCON-VII"
"WOMEN DEVCON HACKATHON","10 Nov","9 AM - 6 PM","H.E.R. DAO, The Phoenix Guild","https://cryptonomads.org/DevconSideEvents2024/WOMEN-DEVCON-HACKATHON"
"ZK HUB","10 Nov","ALL DAY","Aleo, RISC ZERO, ZKM, Cysic & more","https://cryptonomads.org/DevconSideEvents2024/ZK-HUB"
"Datapalooza BKK","10 Nov","9 AM - 4:30 PM","The Graph","https://cryptonomads.org/DevconSideEvents2024/Datapalooza-BKK"
"The Nillion Tuk Tuk Network, ​a better way to attend side events at DevCon!","10 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/The-Nillion-Tuk-Tuk-Network-a-better-way-to-attend-side-events-at-DevCon"
"DAO Asia Summit","10 Nov","9 AM - 5 PM","Digital Asia Hub, Pagoda","https://cryptonomads.org/DevconSideEvents2024/DAO-Asia-Summit"
"Chain Fusion Hacker House","10 Nov","10 AM - 9 PM","ICP, Synergy Labs","https://cryptonomads.org/DevconSideEvents2024/Chain-Fusion-Hacker-House"
"sub0 reset","10 Nov","ALL DAY","webzero, @joinwebzero","https://cryptonomads.org/DevconSideEvents2024/sub0-reset"
"DePIN Day","10 Nov","10 AM - 7 PM","Fluence","https://cryptonomads.org/DevconSideEvents2024/DePIN-Day"
"Community StartUp Pitch Competition","10 Nov","10 AM - 2 PM","Pcventure, Paradise Capital, SynergyLabs","https://cryptonomads.org/DevconSideEvents2024/Community-StartUp-Pitch-Competition"
"MemeWonder","10 Nov","10 AM - 10 PM","Bank BitArcade, 9 CAT Digital, MemeCore","https://cryptonomads.org/DevconSideEvents2024/MemeWonder"
"The Scaling DeAI Summit","10 Nov","10 AM - 7 PM","0x499","https://cryptonomads.org/DevconSideEvents2024/The-Scaling-DeAI-Summit"
"Aggregation Summit","10 Nov","11 AM - 10 PM","AggLayer, Polygon Labs","https://cryptonomads.org/DevconSideEvents2024/Aggregation-Summit"
"Moo Deng & Frens 🦛","10 Nov","11 AM - 5 PM","LUKSO, Dora, FriendsWithBenefits, Offline Protocol","https://cryptonomads.org/DevconSideEvents2024/Moo-Deng-Frens-"
"4Seas x CypherHouse","10 Nov","ALL DAY","Lauran @ETHPanda, West and zik @4Seas","https://cryptonomads.org/DevconSideEvents2024/4Seas-x-CypherHouse"
"Olympic Village at [REDACTED]","10 Nov","ALL DAY","BlackDragon, NEAR Protocol Community","https://cryptonomads.org/DevconSideEvents2024/Olympic-Village-at-REDACTED"
"Alice's Arcade: Game Room","10 Nov","12 PM - 4 PM","Alice's Arcade","https://cryptonomads.org/DevconSideEvents2024/Alices-Arcade-Game-Room"
"ProtoLayers Conference","10 Nov","ALL DAY","EthCzech","https://cryptonomads.org/DevconSideEvents2024/ProtoLayers-Conference"
"IPFS Bangkok","10 Nov","1 PM - 6 PM","Miwa Events","https://cryptonomads.org/DevconSideEvents2024/IPFS-Bangkok"
"Starknet Hacker House","10 Nov","ALL DAY","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Starknet-Hacker-House"
"Arts of the Intersection between AI and Crypto.","10 Nov","2 PM - 3 PM","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Arts-of-the-Intersection-between-AI-and-Crypto"
"Zo x Farcaster Launch Party","10 Nov","2:30 PM - 5:30 PM","Zo, Farcaster","https://cryptonomads.org/DevconSideEvents2024/Zo-x-Farcaster-Launch-Party"
"ETH Belgrade [DEVCON 7] Hacker House","10 Nov","ALL DAY","ETH Belgrade","https://cryptonomads.org/DevconSideEvents2024/ETH-Belgrade-DEVCON-7-Hacker-House"
"Pool House","10 Nov","3 PM - 12 PM","Pool, EduDAO","https://cryptonomads.org/DevconSideEvents2024/Pool-House"
"LFG: Unlocking The Vision","10 Nov","3 PM - 6 PM","LFG Inc, SynergyLabs","https://cryptonomads.org/DevconSideEvents2024/LFG-Unlocking-The-Vision"
"Present and Future of Go To Market","10 Nov","4 PM - 8 PM","Covariance","https://cryptonomads.org/DevconSideEvents2024/Present-and-Future-of-Go-To-Market"
"Allo Hacker Abode","10 Nov","5 PM - 11 AM","Ninit Network, Allo Protocol, @JadeClyne, @MekailMurphy","https://cryptonomads.org/DevconSideEvents2024/Allo-Hacker-Abode"
"Meme Mixer","10 Nov","5 PM - 8 PM","Nest Wallet","https://cryptonomads.org/DevconSideEvents2024/Meme-Mixer"
"QuillAudits x ICP Chainfusion Hackathon","10 Nov","5:30 PM - 6:30 PM","ICP, QuillAudits","https://cryptonomads.org/DevconSideEvents2024/QuillAudits-x-ICP-Chainfusion-Hackathon"
"H.E.R. CON BANGKOK","10 Nov","6 PM - 10 PM","H.E.R. DAO","https://cryptonomads.org/DevconSideEvents2024/HER-CON-BANGKOK"
"DeFi Mixer","10 Nov","7 PM - 9:30 PM","No Organizer","https://cryptonomads.org/DevconSideEvents2024/DeFi-Mixer"
"Eight Forces X $RACE: Private Growth Dinner","10 Nov","7 PM - 10 PM","Eight Forces, $RACE","https://cryptonomads.org/DevconSideEvents2024/Eight-Forces-X-RACE-Private-Growth-Dinner"
"De.Fi World 2024","11 Nov","ALL DAY","De.FI (@DeFi on X)","https://cryptonomads.org/event/De.Fi-World-2024"
"DuneCon 2024","11 Nov","ALL DAY","Dune","https://cryptonomads.org/event/DuneCon-2024"
"ETH Bangkok","11 Nov","ALL DAY","ETH Bangkok, Adato, ApacDAO","https://cryptonomads.org/event/ETH-Bangkok-2024"
"[REDACTED]","11 Nov","ALL DAY","NEAR Protocol","https://cryptonomads.org/event/[REDACTED]-2024"
"GeckoCon 2024","11 Nov","ALL DAY","CoinGecko","https://cryptonomads.org/event/GeckoCon-2024"
"frENSday","11 Nov","ALL DAY","ENS Labs Ltd.","https://cryptonomads.org/event/frENSday-2024"
"Parallel Society Congress","11 Nov","ALL DAY","Logos","https://cryptonomads.org/event/Parallel-Society-Congress-2024"
"Abstract Bangkok","11 Nov","ALL DAY","Argent, Polygon Miden, Ambire, Starkware","https://cryptonomads.org/event/Abstract-Bangkok-2024"
"2:47PM Summit","11 Nov","8 AM - 6 PM","2:47pm Studio","https://cryptonomads.org/DevconSideEvents2024/247PM-Summit"
"Web3Village Residency In Bangkok","11 Nov","ALL DAY","Suci Blockchain Hub, Web3 community, @Quinngiang","https://cryptonomads.org/DevconSideEvents2024/Web3Village-Residency-In-Bangkok"
"Coliving Villa","11 Nov","ALL DAY","Crypto Nomads Club","https://cryptonomads.org/DevconSideEvents2024/Coliving-Villa"
"ZK Accelerate","11 Nov","8:30 AM - 5 PM","No Organizer","https://cryptonomads.org/DevconSideEvents2024/ZK-Accelerate"
"Morning Meditation on the Roof - with WorkoutDAO & StarkFit","11 Nov","8:30 AM - 9:30 AM","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Morning-Meditation-on-the-Roof-with-WorkoutDAO-StarkFit"
"Superintelligence Summit","11 Nov","8:30 AM - 10 PM","Ocean Protocol","https://cryptonomads.org/DevconSideEvents2024/Superintelligence-Summit"
"ZK HUB","11 Nov","ALL DAY","Aleo, RISC ZERO, ZKM, Cysic & more","https://cryptonomads.org/DevconSideEvents2024/ZK-HUB"
"The Nillion Tuk Tuk Network, ​a better way to attend side events at DevCon!","11 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/The-Nillion-Tuk-Tuk-Network-a-better-way-to-attend-side-events-at-DevCon"
"Ethereum Cypherpunk Congress","11 Nov","ALL DAY","Web3Privacy now","https://cryptonomads.org/DevconSideEvents2024/Ethereum-Cypherpunk-Congress"
"FIL Bangkok: DePIN Meets AI","11 Nov","ALL DAY","Filecoin Foundation","https://cryptonomads.org/DevconSideEvents2024/FIL-Bangkok-DePIN-Meets-AI"
"Blockchain Oracle Summit 2024","11 Nov","9 AM - 7 PM","Party Action People","https://cryptonomads.org/DevconSideEvents2024/Blockchain-Oracle-Summit-2024"
"FHE Summit","11 Nov","ALL DAY","FHE Onchain","https://cryptonomads.org/DevconSideEvents2024/FHE-Summit"
"BuildCon","11 Nov","9 AM - 6 PM","Pool, EduDAO","https://cryptonomads.org/DevconSideEvents2024/BuildCon"
"The Builder's Cafe @ Devcon powered by Safe","11 Nov","ALL DAY","The Builder's Club","https://cryptonomads.org/DevconSideEvents2024/The-Builders-Cafe-Devcon-powered-by-Safe"
"Meet the VC Brekky","11 Nov","9 AM - 12 PM","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Meet-the-VC-Brekky"
"Meet the VC Brekky","11 Nov","9 AM - 12 PM","Caladan","https://cryptonomads.org/DevconSideEvents2024/Meet-the-VC-Brekky"
"preconf.erence","11 Nov","ALL DAY","Primev, Nethermind, Taikogwyneth","https://cryptonomads.org/DevconSideEvents2024/preconference"
"Monday at the Café","11 Nov","ALL DAY","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Monday-at-the-Caf"
"sub0 reset","11 Nov","ALL DAY","webzero, @joinwebzero","https://cryptonomads.org/DevconSideEvents2024/sub0-reset"
"MemeWonder","11 Nov","10 AM - 10 PM","Bank BitArcade, 9 CAT Digital, MemeCore","https://cryptonomads.org/DevconSideEvents2024/MemeWonder"
"Chain Abstraction & Intents Day","11 Nov","10 AM - 5:30 PM","Epic Web3","https://cryptonomads.org/DevconSideEvents2024/Chain-Abstraction-Intents-Day"
"Avalanche Hack House","11 Nov","10 AM - 6 PM","Avalanche","https://cryptonomads.org/DevconSideEvents2024/Avalanche-Hack-House"
"WalletCon 2024","11 Nov","10 AM - 7 PM","WalletConnect","https://cryptonomads.org/DevconSideEvents2024/WalletCon-2024"
"Sky Hub | Supermoon & Peanut Trade","11 Nov","10:30 AM - 6 PM","Supermoon, Peanut Trade","https://cryptonomads.org/DevconSideEvents2024/Sky-Hub-Supermoon-Peanut-Trade"
"Aggregation Summit","11 Nov","11 AM - 10 PM","AggLayer, Polygon Labs","https://cryptonomads.org/DevconSideEvents2024/Aggregation-Summit"
"Bangkok Bitcoin Hackathon","11 Nov","ALL DAY","Encode Club","https://cryptonomads.org/DevconSideEvents2024/Bangkok-Bitcoin-Hackathon"
"How To DAO","11 Nov","11 AM - 6:30 PM","H2D","https://cryptonomads.org/DevconSideEvents2024/How-To-DAO"
"Settlement Day","11 Nov","11 AM - 5 PM","cLabs, Celo Foundation, Kolektivo Labs","https://cryptonomads.org/DevconSideEvents2024/Settlement-Day"
"Builders Brunch","11 Nov","11 AM - 3 PM","Builders Club","https://cryptonomads.org/DevconSideEvents2024/Builders-Brunch"
"SheFi Summit","11 Nov","11 AM - 7 PM","SheFi, Linea","https://cryptonomads.org/DevconSideEvents2024/SheFi-Summit"
"Olympic Village at [REDACTED]","11 Nov","ALL DAY","BlackDragon, NEAR Protocol Community","https://cryptonomads.org/DevconSideEvents2024/Olympic-Village-at-REDACTED"
"dAGI Summit — AI x Web3 with cyber•Fund","11 Nov","12 PM - 7 PM","Epic Web3, dAGI House","https://cryptonomads.org/DevconSideEvents2024/dAGI-Summit-AI-x-Web3-with-cyberFund"
"Metaschool Dev Summit","11 Nov","12 PM - 6 PM","Metaschool","https://cryptonomads.org/DevconSideEvents2024/Metaschool-Dev-Summit"
"WOW SUMMIT BANGKOK","11 Nov","ALL DAY","WOW Summit, Uvecon.VC, DTC Group","https://cryptonomads.org/DevconSideEvents2024/WOW-SUMMIT-BANGKOK"
"EthScale @ Devcon 2024","11 Nov","1 PM - 5 PM","Caladan x ETHGAS","https://cryptonomads.org/DevconSideEvents2024/EthScale-Devcon-2024"
"DVT Summit 2024","11 Nov","1 PM - 8 PM","SSV Network","https://cryptonomads.org/DevconSideEvents2024/DVT-Summit-2024"
"Open House #AI Devcon - by RSS3 & Open","11 Nov","1:30 PM - 6:30 PM","RSS3, Open","https://cryptonomads.org/DevconSideEvents2024/Open-House-AI-Devcon-by-RSS3-Open"
"Ethereum Enterprise Alliance Industry Day","11 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Ethereum-Enterprise-Alliance-Industry-Day"
"ETH Belgrade [DEVCON 7] Hacker House","11 Nov","ALL DAY","ETH Belgrade","https://cryptonomads.org/DevconSideEvents2024/ETH-Belgrade-DEVCON-7-Hacker-House"
"Pool House","11 Nov","3 PM - 12 PM","Pool, EduDAO","https://cryptonomads.org/DevconSideEvents2024/Pool-House"
"Web3 Marketers Summit","11 Nov","3 PM - 7 PM","AdEx","https://cryptonomads.org/DevconSideEvents2024/Web3-Marketers-Summit"
"Ducks Everywhere","11 Nov","3:30 PM - 5 PM","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Ducks-Everywhere"
"RWA Hacker House","11 Nov","4 PM - 7:30 PM","Saison Capital","https://cryptonomads.org/DevconSideEvents2024/RWA-Hacker-House"
"WEB3.PRO WATERBOMB NIGHT","11 Nov","4 PM - 11 PM","web3.pro","https://cryptonomads.org/DevconSideEvents2024/WEB3PRO-WATERBOMB-NIGHT"
"Allo Hacker Abode","11 Nov","5 PM - 11 AM","Ninit Network, Allo Protocol, @JadeClyne, @MekailMurphy","https://cryptonomads.org/DevconSideEvents2024/Allo-Hacker-Abode"
"13Desk Meet Up｜Sunset Soirée","11 Nov","5 PM - 9 PM","13Desk","https://cryptonomads.org/DevconSideEvents2024/13Desk-Meet-UpSunset-Soire"
"Universal Adventure","11 Nov","5:30 PM - 10:30 PM","​ZetaChain","https://cryptonomads.org/DevconSideEvents2024/Universal-Adventure"
"ICP Chain Fusion Night Party","11 Nov","6 PM - 1 AM","ICP, Supermoon, Synergy Labs","https://cryptonomads.org/DevconSideEvents2024/ICP-Chain-Fusion-Night-Party"
"ReDeFining Bitcoin: The Future of BTCfi","11 Nov","6 PM - 11 PM","Staking Circle","https://cryptonomads.org/DevconSideEvents2024/ReDeFining-Bitcoin-The-Future-of-BTCfi"
"TH BUIDL Builders Dinner","11 Nov","6 PM - 9 PM","TH BUIDL, Symmetry","https://cryptonomads.org/DevconSideEvents2024/TH-BUIDL-Builders-Dinner"
"Reactive's Thai Dinner Cruise","11 Nov","6 PM - 10 PM","Reactive Network","https://cryptonomads.org/DevconSideEvents2024/Reactives-Thai-Dinner-Cruise"
"Fusion Night","11 Nov","7 PM - 1 AM","Internet Computer Protocol, ICP Hub Thailand","https://cryptonomads.org/DevconSideEvents2024/Fusion-Night"
"Convergence: Networking with TOP Builders in SEA","11 Nov","8 PM - 12 AM","ShardLab, Aptos, TH BUIDL","https://cryptonomads.org/DevconSideEvents2024/Convergence-Networking-with-TOP-Builders-in-SEA"
"Devcon","12 Nov","ALL DAY","Ethereum Foundation","https://cryptonomads.org/event/Devcon-2024"
