title,date,time,organizer,href
"Web3Village Residency In Bangkok","12 Nov","ALL DAY","Suci Blockchain Hub, Web3 community, @Quinngiang","https://cryptonomads.org/DevconSideEvents2024/Web3Village-Residency-In-Bangkok"
"Coliving Villa","12 Nov","ALL DAY","Crypto Nomads Club","https://cryptonomads.org/DevconSideEvents2024/Coliving-Villa"
"Morning Yoga on the Roof","12 Nov","8:30 AM - 9:30 AM","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Morning-Yoga-on-the-Roof"
"The Nillion Tuk Tuk Network, ​a better way to attend side events at DevCon!","12 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/The-Nillion-Tuk-Tuk-Network-a-better-way-to-attend-side-events-at-DevCon"
"Blunt Olympics","12 Nov","ALL DAY","BluntDAO","https://cryptonomads.org/DevconSideEvents2024/Blunt-Olympics"
"Tuesday at the Café","12 Nov","9:30 AM - 5 PM","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Tuesday-at-the-Caf"
"Another AI Summit @ SkyHub by Supermoon","12 Nov","10 AM - 6 AM","Supermoon, Peanut Trade, Bittle Protocol, DoraHacks","https://cryptonomads.org/DevconSideEvents2024/Another-AI-Summit-SkyHub-by-Supermoon"
"Investing in AI","12 Nov","10 AM - 5 PM","Supermoon, Peanut, Bitte, Techstars","https://cryptonomads.org/DevconSideEvents2024/Investing-in-AI"
"Sky Hub | Supermoon & Peanut Trade","12 Nov","10:30 AM - 6 PM","Supermoon, Peanut Trade","https://cryptonomads.org/DevconSideEvents2024/Sky-Hub-Supermoon-Peanut-Trade"
"Bangkok Bitcoin Hackathon","12 Nov","ALL DAY","Encode Club","https://cryptonomads.org/DevconSideEvents2024/Bangkok-Bitcoin-Hackathon"
"Future of Socials & AI","12 Nov","11 AM - 3 PM","​Fabric Ventures","https://cryptonomads.org/DevconSideEvents2024/Future-of-Socials-AI"
"Founders & Investors brunch","12 Nov","11 AM - 2 PM","Fractl","https://cryptonomads.org/DevconSideEvents2024/Founders-Investors-brunch"
"Multichain Day","12 Nov","11 AM - 6:30 PM","Wormhole","https://cryptonomads.org/DevconSideEvents2024/Multichain-Day"
"Founder & CMOs Brunch","12 Nov","11:30 AM - 3:30 PM","Treta Labs","https://cryptonomads.org/DevconSideEvents2024/Founder-CMOs-Brunch"
"Olympic Village at [REDACTED]","12 Nov","ALL DAY","BlackDragon, NEAR Protocol Community","https://cryptonomads.org/DevconSideEvents2024/Olympic-Village-at-REDACTED"
"WOW SUMMIT BANGKOK","12 Nov","ALL DAY","WOW Summit, Uvecon.VC, DTC Group","https://cryptonomads.org/DevconSideEvents2024/WOW-SUMMIT-BANGKOK"
"Restaking & Infra Day","12 Nov","1 PM - 6:30 PM","Epic Web3","https://cryptonomads.org/DevconSideEvents2024/Restaking-Infra-Day"
"MEMECON, the memecoin conference for degenerates built by degenerates!","12 Nov","1 PM - 8 PM","MEMECON","https://cryptonomads.org/DevconSideEvents2024/MEMECON-the-memecoin-conference-for-degenerates-built-by-degenerates"
"1783DAO Scaling Onchain Growth","12 Nov","1:30 PM - 5:30 PM","1783DAO, BroadChain","https://cryptonomads.org/DevconSideEvents2024/1783DAO-Scaling-Onchain-Growth"
"The Bull Rally: Go-Kart","12 Nov","2 PM - 6 PM","Caladan, ShardLab","https://cryptonomads.org/DevconSideEvents2024/The-Bull-Rally-GoKart"
"DeAI Summit","12 Nov","2:30 PM - 8:30 PM","OpenLedger","https://cryptonomads.org/DevconSideEvents2024/DeAI-Summit"
"ETH Belgrade [DEVCON 7] Hacker House","12 Nov","ALL DAY","ETH Belgrade","https://cryptonomads.org/DevconSideEvents2024/ETH-Belgrade-DEVCON-7-Hacker-House"
"Pool House","12 Nov","3 PM - 12 PM","Pool, EduDAO","https://cryptonomads.org/DevconSideEvents2024/Pool-House"
"Family office & Investors Summit","12 Nov","3 PM - 5 PM","FOIS","https://cryptonomads.org/DevconSideEvents2024/Family-office-Investors-Summit"
"Building on Bitcoin","12 Nov","3 PM - 6 PM","Stacks Foundation","https://cryptonomads.org/DevconSideEvents2024/Building-on-Bitcoin"
"DevCon - VCs & LPs Cocktail Hour✨ (invite only)","12 Nov","3 PM - 5 PM","fractl","https://cryptonomads.org/DevconSideEvents2024/DevCon-VCs-LPs-Cocktail-Hour-invite-only"
"RWA Hacker House","12 Nov","4 PM - 7:30 PM","Saison Capital","https://cryptonomads.org/DevconSideEvents2024/RWA-Hacker-House"
"Web3 Wave BD Lounge","12 Nov","4 PM - 7 PM","Symmetry","https://cryptonomads.org/DevconSideEvents2024/Web3-Wave-BD-Lounge"
"Symmetry Web3 Wave BD Lounge","12 Nov","4 PM - 7 PM","Symmetry","https://cryptonomads.org/DevconSideEvents2024/Symmetry-Web3-Wave-BD-Lounge"
"Allo Hacker Abode","12 Nov","5 PM - 11 AM","Ninit Network, Allo Protocol, @JadeClyne, @MekailMurphy","https://cryptonomads.org/DevconSideEvents2024/Allo-Hacker-Abode"
"✨🛥️ZK Dining on The River Hosted by Holonym Foundation🛥️✨","12 Nov","5 PM - 8 PM","Holonym Foundation","https://cryptonomads.org/DevconSideEvents2024/ZK-Dining-on-The-River-Hosted-by-Holonym-Foundation"
"Sui Connect: Bangkok","12 Nov","5 PM - 8 PM","Sui","https://cryptonomads.org/DevconSideEvents2024/Sui-Connect-Bangkok"
"ICP Chain Fusion Night Party","12 Nov","6 PM - 1 AM","ICP, Supermoon, Synergy Labs","https://cryptonomads.org/DevconSideEvents2024/ICP-Chain-Fusion-Night-Party"
"Exclusive Founders & Investors Networking Drinking Event - Devcon Bangkok","12 Nov","6 PM - 8 PM","TokenMinds","https://cryptonomads.org/DevconSideEvents2024/Exclusive-Founders-Investors-Networking-Drinking-Event-Devcon-Bangkok"
"Blockchain Startup Pitch Night","12 Nov","6 PM - 4 PM","Lucia Protocol","https://cryptonomads.org/DevconSideEvents2024/Blockchain-Startup-Pitch-Night"
"Interop Summit","12 Nov","6 PM - 10 PM","Axelar","https://cryptonomads.org/DevconSideEvents2024/Interop-Summit"
"Celo Gather","12 Nov","6 PM - 10 PM","KohCelo","https://cryptonomads.org/DevconSideEvents2024/Celo-Gather"
"​Decentralized SEA: Building DePIN's Future In Southeast Asia","12 Nov","6 PM - 9 PM","SEA DePIN, Inferix","https://cryptonomads.org/DevconSideEvents2024/Decentralized-SEA-Building-DePINs-Future-In-Southeast-Asia"
"Devcon Rooftop Hash Hour w/ Halborn, Beefy & Core","12 Nov","6 PM - 9 PM","Halborn, Beefy, Core","https://cryptonomads.org/DevconSideEvents2024/Devcon-Rooftop-Hash-Hour-w-Halborn-Beefy-Core"
"DevCon KOL cocktail hour ✨ (invite-only)","12 Nov","6 PM - 8 PM","fractl","https://cryptonomads.org/DevconSideEvents2024/DevCon-KOL-cocktail-hour-inviteonly"
"Rooftop Drinks & Hors d'oeuvres with Wormhole","12 Nov","6 PM - 10 PM","Womhole","https://cryptonomads.org/DevconSideEvents2024/Rooftop-Drinks-Hors-doeuvres-with-Wormhole"
"Game Cruise Night","12 Nov","6:30 PM - 10 PM","Saison Capital, PG, Mythic Protocol","https://cryptonomads.org/DevconSideEvents2024/Game-Cruise-Night"
"Chainlinked Together","12 Nov","7 PM - 10 PM","Chainlink","https://cryptonomads.org/DevconSideEvents2024/Chainlinked-Together"
"Open #AI Launch Party - RSS3","12 Nov","7 PM - 11 PM","RSS3, Open","https://cryptonomads.org/DevconSideEvents2024/Open-AI-Launch-Party-RSS3"
"Open #AI Launch Party - RSS3","12 Nov","7 PM - 11 PM","RSS3, Open","https://cryptonomads.org/DevconSideEvents2024/Open-AI-Launch-Party-RSS3"
"MetisFest Bangkok","12 Nov","8 PM - 1 AM","Metis Fondation","https://cryptonomads.org/DevconSideEvents2024/MetisFest-Bangkok"
"THW3 Welcome Party","12 Nov","8 PM - 1 AM","Symmetry","https://cryptonomads.org/DevconSideEvents2024/THW3-Welcome-Party"
"BUIDL & BOND","12 Nov","8 PM - 12 AM","Viction, Cleverse","https://cryptonomads.org/DevconSideEvents2024/BUIDL-BOND"
"CryptoZonic Festival","12 Nov","9 PM - 4 AM","Bank BitArcade","https://cryptonomads.org/DevconSideEvents2024/CryptoZonic-Festival"
"Devcon","13 Nov","ALL DAY","Ethereum Foundation","https://cryptonomads.org/event/Devcon-2024"
"Thailand Web3 Conf","13 Nov","ALL DAY","Symmetry","https://cryptonomads.org/event/Thailand-Web3-Conf-2024"
"Am Run & Workout","13 Nov","7:30 AM - 9 AM","Bankless VC","https://cryptonomads.org/DevconSideEvents2024/Am-Run-Workout"
"Web3Village Residency In Bangkok","13 Nov","ALL DAY","Suci Blockchain Hub, Web3 community, @Quinngiang","https://cryptonomads.org/DevconSideEvents2024/Web3Village-Residency-In-Bangkok"
"Coliving Villa","13 Nov","ALL DAY","Crypto Nomads Club","https://cryptonomads.org/DevconSideEvents2024/Coliving-Villa"
"Wednesday at the Café","13 Nov","8:30 AM - 5:30 AM","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Wednesday-at-the-Caf"
"The Nillion Tuk Tuk Network, ​a better way to attend side events at DevCon!","13 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/The-Nillion-Tuk-Tuk-Network-a-better-way-to-attend-side-events-at-DevCon"
"EASYCON BANGKOK at Builder's Club Café","13 Nov","9 AM - 5 PM","CoinEasy, The Builders Club, LINE, Function Network, Zircuit, Numus, Tangem and etc","https://cryptonomads.org/DevconSideEvents2024/EASYCON-BANGKOK-at-Builders-Club-Caf"
"Builder's Cafe - Powered by Safe","13 Nov","ALL DAY","The Builder's Club","https://cryptonomads.org/DevconSideEvents2024/Builders-Cafe-Powered-by-Safe"
"L2con","13 Nov","10 AM - 6 PM","Epic Web3","https://cryptonomads.org/DevconSideEvents2024/L2con"
"Modular DeFi Day in Bangkok","13 Nov","10 AM - 7 PM","Encode Club","https://cryptonomads.org/DevconSideEvents2024/Modular-DeFi-Day-in-Bangkok"
"Avalanche Hackathon","13 Nov","10 AM - 6 PM","Avalanche","https://cryptonomads.org/DevconSideEvents2024/Avalanche-Hackathon"
"Alliance Breakfast","13 Nov","10 AM - 12 PM","Alliance","https://cryptonomads.org/DevconSideEvents2024/Alliance-Breakfast"
"Thailand Web3 Conference (#THW3)","13 Nov","10 AM - 6 PM","Symmetry","https://cryptonomads.org/DevconSideEvents2024/Thailand-Web3-Conference-THW3"
"Women in Web3 Privacy","13 Nov","10 AM - 6 PM","Women in Web3 Privacy","https://cryptonomads.org/DevconSideEvents2024/Women-in-Web3-Privacy"
"Sky Hub | Supermoon & Peanut Trade","13 Nov","10:30 AM - 6 PM","Supermoon, Peanut Trade","https://cryptonomads.org/DevconSideEvents2024/Sky-Hub-Supermoon-Peanut-Trade"
"Brunch in Bangkok","13 Nov","10:30 AM - 2 PM","The Builder's Club, Safe","https://cryptonomads.org/DevconSideEvents2024/Brunch-in-Bangkok"
"AI x CRYPTO Day at Devcon Bangkok","13 Nov","ALL DAY","RPS AI, Symmetry, Chainlink, Seed Club Ventures","https://cryptonomads.org/DevconSideEvents2024/AI-x-CRYPTO-Day-at-Devcon-Bangkok"
"Infra Gardens Bangkok","13 Nov","1 PM - 7 PM","DIA, Protocol Labs, Kwil, Randamu","https://cryptonomads.org/DevconSideEvents2024/Infra-Gardens-Bangkok"
"Blockspace and Commitments Day","13 Nov","2 PM - 5 PM","Blue Yard, ETHGas","https://cryptonomads.org/DevconSideEvents2024/Blockspace-and-Commitments-Day"
"ETH Belgrade [DEVCON 7] Hacker House","13 Nov","ALL DAY","ETH Belgrade","https://cryptonomads.org/DevconSideEvents2024/ETH-Belgrade-DEVCON-7-Hacker-House"
"Pool House","13 Nov","3 PM - 12 PM","Pool, EduDAO","https://cryptonomads.org/DevconSideEvents2024/Pool-House"
"Open Source AI Summit Bangkok","13 Nov","3 PM - 6:30 PM","KryptoPlanet, NEAR Protocol","https://cryptonomads.org/DevconSideEvents2024/Open-Source-AI-Summit-Bangkok"
"RWA Hacker House","13 Nov","4 PM - 7:30 PM","Saison Capital","https://cryptonomads.org/DevconSideEvents2024/RWA-Hacker-House"
"Orange JAM Bangkok","13 Nov","4 PM - 6 PM","Orange DAO","https://cryptonomads.org/DevconSideEvents2024/Orange-JAM-Bangkok"
"Allo Hacker Abode","13 Nov","5 PM - 11 AM","Ninit Network, Allo Protocol, @JadeClyne, @MekailMurphy","https://cryptonomads.org/DevconSideEvents2024/Allo-Hacker-Abode"
"Agents Unleashed Bangkok","13 Nov","5 PM - 11:59 PM","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Agents-Unleashed-Bangkok"
"Hall of Impact: DePIN & RWA","13 Nov","5 PM - 9 PM","QuillAudits","https://cryptonomads.org/DevconSideEvents2024/Hall-of-Impact-DePIN-RWA"
"Builder Nights Bangkok - Presented by MetaMask 🦊 , Linea, Safe, 1inch and Web3auth","13 Nov","5 PM - 11 PM","@francescoswiss","https://cryptonomads.org/DevconSideEvents2024/Builder-Nights-Bangkok-Presented-by-MetaMask-Linea-Safe-1inch-and-Web3auth"
"Blockchain Startup Pitch Night","13 Nov","6 PM - 4 PM","Lucia Protocol","https://cryptonomads.org/DevconSideEvents2024/Blockchain-Startup-Pitch-Night"
"Swell Swoiree","13 Nov","6 PM - 10 PM","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Swell-Swoiree"
"AI + DePIN Happy Hour @ Devcon with Halborn and Nillion","13 Nov","6 PM - 8 PM","Halborn, Nillion","https://cryptonomads.org/DevconSideEvents2024/AI-DePIN-Happy-Hour-Devcon-with-Halborn-and-Nillion"
"Confessions of a Unicorn Founder","13 Nov","6 PM - 9 PM","Alliance","https://cryptonomads.org/DevconSideEvents2024/Confessions-of-a-Unicorn-Founder"
"Devcon Pitch Cruise Night","13 Nov","6:30 PM - 10 PM","Saison Capital,IOSG Ventures","https://cryptonomads.org/DevconSideEvents2024/Devcon-Pitch-Cruise-Night"
"Penguins @ Devcon","13 Nov","6:30 PM - 7:30 PM","Pudgy Penguins","https://cryptonomads.org/DevconSideEvents2024/Penguins-Devcon"
"Symm & Frens Night","13 Nov","8 PM - 2 AM","Symmetry","https://cryptonomads.org/DevconSideEvents2024/Symm-Frens-Night"
"Reddio Devcon After Party","13 Nov","8:30 PM - 3:30 PM","Reddio","https://cryptonomads.org/DevconSideEvents2024/Reddio-Devcon-After-Party"
"The Ultimate Meme Bash | BKK Edition","13 Nov","9 PM - 3 AM","MEME BASH","https://cryptonomads.org/DevconSideEvents2024/The-Ultimate-Meme-Bash-BKK-Edition"
"AceTCG World Championship 2024","13 Nov","9 PM - 1 AM","AceTCG","https://cryptonomads.org/DevconSideEvents2024/AceTCG-World-Championship-2024"
"Devcon","14 Nov","ALL DAY","Ethereum Foundation","https://cryptonomads.org/event/Devcon-2024"
"Thailand Web3 Conf","14 Nov","ALL DAY","Symmetry","https://cryptonomads.org/event/Thailand-Web3-Conf-2024"
"Web3Village Residency In Bangkok","14 Nov","ALL DAY","Suci Blockchain Hub, Web3 community, @Quinngiang","https://cryptonomads.org/DevconSideEvents2024/Web3Village-Residency-In-Bangkok"
"Coliving Villa","14 Nov","ALL DAY","Crypto Nomads Club","https://cryptonomads.org/DevconSideEvents2024/Coliving-Villa"
"The Nillion Tuk Tuk Network, ​a better way to attend side events at DevCon!","14 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/The-Nillion-Tuk-Tuk-Network-a-better-way-to-attend-side-events-at-DevCon"
"Devcon Coffee Meetup w/ Halborn, Sushi, Nillion","14 Nov","9 AM - 11 AM","Halborn, Sushi, Nillion","https://cryptonomads.org/DevconSideEvents2024/Devcon-Coffee-Meetup-w-Halborn-Sushi-Nillion"
"Thursday at the Café","14 Nov","9:30 AM - 5:30 PM","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Thursday-at-the-Caf"
"Thailand Web3 Conference (#THW3)","14 Nov","10 AM - 6 PM","Symmetry","https://cryptonomads.org/DevconSideEvents2024/Thailand-Web3-Conference-THW3"
"Hack Seasons Conference Bangkok","14 Nov","10 AM - 6 PM","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Hack-Seasons-Conference-Bangkok"
"Open AGI Summit","14 Nov","10 AM - 8 PM","Sentient","https://cryptonomads.org/DevconSideEvents2024/Open-AGI-Summit"
"Bitcoin Shark Tank #2 in Bangkok","14 Nov","10 AM - 4 PM","BOB","https://cryptonomads.org/DevconSideEvents2024/Bitcoin-Shark-Tank-2-in-Bangkok"
"TON Hacker House","14 Nov","10 AM - 6 PM","TON","https://cryptonomads.org/DevconSideEvents2024/TON-Hacker-House"
"Open AGI Summit Devcon","14 Nov","ALL DAY","sentient","https://cryptonomads.org/DevconSideEvents2024/Open-AGI-Summit-Devcon"
"Bitcoin Brunch @ Devcon w/ Halborn","14 Nov","11 AM - 1 PM","Halborn","https://cryptonomads.org/DevconSideEvents2024/Bitcoin-Brunch-Devcon-w-Halborn"
"Why is Verification and AI important for Climate Analytics?","14 Nov","11 AM - 2:30 PM","Ecomonitor","https://cryptonomads.org/DevconSideEvents2024/Why-is-Verification-and-AI-important-for-Climate-Analytics"
"Encryption Day: ZK, FHE, & MPC","14 Nov","1 PM - 5 PM","Fhenix, Dystopia Labs","https://cryptonomads.org/DevconSideEvents2024/Encryption-Day-ZK-FHE-MPC"
"Aleph.im AI & Cloud Computing","14 Nov","2 PM - 6 PM","Aleph.im","https://cryptonomads.org/DevconSideEvents2024/Alephim-AI-Cloud-Computing"
"ETH Belgrade [DEVCON 7] Hacker House","14 Nov","ALL DAY","ETH Belgrade","https://cryptonomads.org/DevconSideEvents2024/ETH-Belgrade-DEVCON-7-Hacker-House"
"Pool House","14 Nov","3 PM - 12 PM","Pool, EduDAO","https://cryptonomads.org/DevconSideEvents2024/Pool-House"
"RWA Hacker House","14 Nov","4 PM - 7:30 PM","Saison Capital","https://cryptonomads.org/DevconSideEvents2024/RWA-Hacker-House"
"Allo Hacker Abode","14 Nov","5 PM - 11 AM","Ninit Network, Allo Protocol, @JadeClyne, @MekailMurphy","https://cryptonomads.org/DevconSideEvents2024/Allo-Hacker-Abode"
"Blockchain Startup Pitch Night","14 Nov","6 PM - 4 PM","Lucia Protocol","https://cryptonomads.org/DevconSideEvents2024/Blockchain-Startup-Pitch-Night"
"ETHGlobal Happy Hour Bangkok","14 Nov","6 PM - 9 PM","ETHGlobal","https://cryptonomads.org/DevconSideEvents2024/ETHGlobal-Happy-Hour-Bangkok"
"blocmates Panel & Happy Hour","14 Nov","6 PM - 10 PM","blocmates","https://cryptonomads.org/DevconSideEvents2024/blocmates-Panel-Happy-Hour"
"WEB3 Yacht Party","14 Nov","6 PM - 10 PM","ZSC Capital","https://cryptonomads.org/DevconSideEvents2024/WEB3-Yacht-Party"
"Frens & Fam Yacht Sunset Dinner","14 Nov","6 PM - 10 PM","Symmetry","https://cryptonomads.org/DevconSideEvents2024/Frens-Fam-Yacht-Sunset-Dinner"
"Varys Capital Panel","14 Nov","6:30 PM - 8:30 PM","Varys Capital","https://cryptonomads.org/DevconSideEvents2024/Varys-Capital-Panel"
"Audius Live⚡️ Sessions: Bangkok Beats","14 Nov","9 PM - 2 AM","Audius","https://cryptonomads.org/DevconSideEvents2024/Audius-Live-Sessions-Bangkok-Beats"
"KOL Gathering","14 Nov","10 PM - 1 AM","Cointelegraph Accelerator, Supermoon","https://cryptonomads.org/DevconSideEvents2024/KOL-Gathering"
"Devcon","15 Nov","ALL DAY","Ethereum Foundation","https://cryptonomads.org/event/Devcon-2024"
"ETHGlobal Bangkok","15 Nov","ALL DAY","ETHGlobal","https://cryptonomads.org/event/ETHGlobal-Bangkok-2024"
"Web3Village Residency In Bangkok","15 Nov","ALL DAY","Suci Blockchain Hub, Web3 community, @Quinngiang","https://cryptonomads.org/DevconSideEvents2024/Web3Village-Residency-In-Bangkok"
"Coliving Villa","15 Nov","ALL DAY","Crypto Nomads Club","https://cryptonomads.org/DevconSideEvents2024/Coliving-Villa"
"The Nillion Tuk Tuk Network, ​a better way to attend side events at DevCon!","15 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/The-Nillion-Tuk-Tuk-Network-a-better-way-to-attend-side-events-at-DevCon"
"Friday at the Café","15 Nov","9:30 AM - 5:30 AM","Starknet Foundation","https://cryptonomads.org/DevconSideEvents2024/Friday-at-the-Caf"
"Sequencing Day","15 Nov","ALL DAY","Puffer Finance, Espresso Systems, Encode Club, Radius, Justin","https://cryptonomads.org/DevconSideEvents2024/Sequencing-Day"
"Duke Web3 Pitch Competition & VC networking","15 Nov","10 AM - 1 PM","Gain Ventures, Taisu","https://cryptonomads.org/DevconSideEvents2024/Duke-Web3-Pitch-Competition-VC-networking"
"Modular Adoption Summit","15 Nov","12 PM - 5 PM","Manta Network","https://cryptonomads.org/DevconSideEvents2024/Modular-Adoption-Summit"
"ETH Belgrade [DEVCON 7] Hacker House","15 Nov","ALL DAY","ETH Belgrade","https://cryptonomads.org/DevconSideEvents2024/ETH-Belgrade-DEVCON-7-Hacker-House"
"Pool House","15 Nov","3 PM - 12 PM","Pool, EduDAO","https://cryptonomads.org/DevconSideEvents2024/Pool-House"
"RWA Hacker House","15 Nov","4 PM - 7:30 PM","Saison Capital","https://cryptonomads.org/DevconSideEvents2024/RWA-Hacker-House"
"Uniting Societies Mai 'Thai' Mixer","15 Nov","4:30 PM - 8:30 PM","Somnia","https://cryptonomads.org/DevconSideEvents2024/Uniting-Societies-Mai-Thai-Mixer"
"Allo Hacker Abode","15 Nov","5 PM - 11 AM","Ninit Network, Allo Protocol, @JadeClyne, @MekailMurphy","https://cryptonomads.org/DevconSideEvents2024/Allo-Hacker-Abode"
"Web3 Builders' Dinner","15 Nov","6 PM - 9 PM","TH BUIDL, Symmetry, GIG DAO, sqrDAO","https://cryptonomads.org/DevconSideEvents2024/Web3-Builders-Dinner"
"DeAI:After Hours","15 Nov","7 PM - 10 PM","No Organizer","https://cryptonomads.org/DevconSideEvents2024/DeAIAfter-Hours"
"Afterparty | DevCon goes Y2K ☎️","15 Nov","9 PM - 2 AM","Treta Labs","https://cryptonomads.org/DevconSideEvents2024/Afterparty-DevCon-goes-Y2K-"
"ETHGlobal Bangkok","16 Nov","ALL DAY","ETHGlobal","https://cryptonomads.org/event/ETHGlobal-Bangkok-2024"
"Web3Village Residency In Bangkok","16 Nov","ALL DAY","Suci Blockchain Hub, Web3 community, @Quinngiang","https://cryptonomads.org/DevconSideEvents2024/Web3Village-Residency-In-Bangkok"
"Coliving Villa","16 Nov","ALL DAY","Crypto Nomads Club","https://cryptonomads.org/DevconSideEvents2024/Coliving-Villa"
"Bankless Summit","16 Nov","9 AM - 6:30 PM","No Organizer","https://cryptonomads.org/DevconSideEvents2024/Bankless-Summit"
"Parallel EVM Research Meetup","16 Nov","10 AM - 2 PM","Reddio","https://cryptonomads.org/DevconSideEvents2024/Parallel-EVM-Research-Meetup"
"Parallel EVM Summit","16 Nov","12:30 PM - 5 PM","Reddio","https://cryptonomads.org/DevconSideEvents2024/Parallel-EVM-Summit"
"ETH Belgrade [DEVCON 7] Hacker House","16 Nov","ALL DAY","ETH Belgrade","https://cryptonomads.org/DevconSideEvents2024/ETH-Belgrade-DEVCON-7-Hacker-House"
"Pool House","16 Nov","3 PM - 12 PM","Pool, EduDAO","https://cryptonomads.org/DevconSideEvents2024/Pool-House"
"RWA Hacker House","16 Nov","4 PM - 7:30 PM","Saison Capital","https://cryptonomads.org/DevconSideEvents2024/RWA-Hacker-House"
"Allo Hacker Abode","16 Nov","5 PM - 11 AM","Ninit Network, Allo Protocol, @JadeClyne, @MekailMurphy","https://cryptonomads.org/DevconSideEvents2024/Allo-Hacker-Abode"
"ETHGlobal Bangkok","17 Nov","ALL DAY","ETHGlobal","https://cryptonomads.org/event/ETHGlobal-Bangkok-2024"
"Web3Village Residency In Bangkok","17 Nov","ALL DAY","Suci Blockchain Hub, Web3 community, @Quinngiang","https://cryptonomads.org/DevconSideEvents2024/Web3Village-Residency-In-Bangkok"
"Coliving Villa","17 Nov","ALL DAY","Crypto Nomads Club","https://cryptonomads.org/DevconSideEvents2024/Coliving-Villa"
"ETH Belgrade [DEVCON 7] Hacker House","17 Nov","ALL DAY","ETH Belgrade","https://cryptonomads.org/DevconSideEvents2024/ETH-Belgrade-DEVCON-7-Hacker-House"
"Pool House","17 Nov","3 PM - 12 PM","Pool, EduDAO","https://cryptonomads.org/DevconSideEvents2024/Pool-House"
"RWA Hacker House","17 Nov","4 PM - 7:30 PM","Saison Capital","https://cryptonomads.org/DevconSideEvents2024/RWA-Hacker-House"
"Allo Hacker Abode","17 Nov","5 PM - 11 AM","Ninit Network, Allo Protocol, @JadeClyne, @MekailMurphy","https://cryptonomads.org/DevconSideEvents2024/Allo-Hacker-Abode"
"ZuThailand","18 Nov - 18 Dec","ALL DAY","Zuzalu","https://cryptonomads.org/event/ZuThailand-2024"
"ETH Phangan Retreat","18 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/ETH-Phangan-Retreat"
"ETH Belgrade [DEVCON 7] Hacker House","18 Nov","ALL DAY","ETH Belgrade","https://cryptonomads.org/DevconSideEvents2024/ETH-Belgrade-DEVCON-7-Hacker-House"
"ETH Phangan Retreat","19 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/ETH-Phangan-Retreat"
"ETH Phangan Retreat","20 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/ETH-Phangan-Retreat"
"ETH Phangan Retreat","21 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/ETH-Phangan-Retreat"
"ETH Phangan Retreat","22 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/ETH-Phangan-Retreat"
"ETH Phangan Retreat","23 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/ETH-Phangan-Retreat"
"ETH Phangan Retreat","24 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/ETH-Phangan-Retreat"
"ETH Phangan Retreat","25 Nov","ALL DAY","No Organizer","https://cryptonomads.org/DevconSideEvents2024/ETH-Phangan-Retreat"